danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.653,0.472,2,-14.797,1,0.0353,0.0554,7.69e-5,0.397,0.448,102.558,audio_features,5A7eooPKJHtr0UJmatjH4a,spotify:track:5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/tracks/5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/audio-analysis/5A7eooPKJHtr0UJmatjH4a,74411,4
0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,audio_features,0vFOzaXqZHahrZp6enQwQb,spotify:track:0vFOzaXqZHahrZp6enQwQb,https://api.spotify.com/v1/tracks/0vFOzaXqZHahrZp6enQwQb,https://api.spotify.com/v1/audio-analysis/0vFOzaXqZHahrZp6enQwQb,382834,1
0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,audio_features,7yq4Qj7cqayVTp3FF9CWbm,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,4
0.694,0.331,9,-13,1,0.0284,0.806,0.00235,0.707,0.458,79.055,audio_features,3UqHlIBI771FNCiLY5MKrp,spotify:track:3UqHlIBI771FNCiLY5MKrp,https://api.spotify.com/v1/tracks/3UqHlIBI771FNCiLY5MKrp,https://api.spotify.com/v1/audio-analysis/3UqHlIBI771FNCiLY5MKrp,280000,4
0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,audio_features,6zC0mpGYwbNTpk9SKwh08f,spotify:track:6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/tracks/6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/audio-analysis/6zC0mpGYwbNTpk9SKwh08f,225027,4
0.755,0.638,5,-7.54,1,0.0557,0.178,0,0.739,0.852,121.282,audio_features,4D9uQHmo0HA8yRtU7NuFAz,spotify:track:4D9uQHmo0HA8yRtU7NuFAz,https://api.spotify.com/v1/tracks/4D9uQHmo0HA8yRtU7NuFAz,https://api.spotify.com/v1/audio-analysis/4D9uQHmo0HA8yRtU7NuFAz,152613,4
0.559,0.524,2,-11.64,0,0.0462,0.318,9.4e-4,0.933,0.652,93.85,audio_features,5phbwzg5d2MqNAoc0435Zu,spotify:track:5phbwzg5d2MqNAoc0435Zu,https://api.spotify.com/v1/tracks/5phbwzg5d2MqNAoc0435Zu,https://api.spotify.com/v1/audio-analysis/5phbwzg5d2MqNAoc0435Zu,289027,4
0.392,0.128,4,-11.724,1,0.0334,0.892,1.27e-4,0.106,0.214,130.596,audio_features,37uKt0zuvQoULb9mnwRTHH,spotify:track:37uKt0zuvQoULb9mnwRTHH,https://api.spotify.com/v1/tracks/37uKt0zuvQoULb9mnwRTHH,https://api.spotify.com/v1/audio-analysis/37uKt0zuvQoULb9mnwRTHH,230368,4
0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4
0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,audio_features,25yQPHgC35WNnnOUqFhgVR,spotify:track:25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/tracks/25yQPHgC35WNnnOUqFhgVR,https://api.spotify.com/v1/audio-analysis/25yQPHgC35WNnnOUqFhgVR,208467,1
0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-5,0.305,0.813,137.831,audio_features,5GjPQ0eI7AgmOnADn1EO6Q,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q,126533,4
0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,audio_features,389QX9Q1eUOEZ19vtzzI9O,spotify:track:389QX9Q1eUOEZ19vtzzI9O,https://api.spotify.com/v1/tracks/389QX9Q1eUOEZ19vtzzI9O,https://api.spotify.com/v1/audio-analysis/389QX9Q1eUOEZ19vtzzI9O,285000,4
0.613,0.0457,0,-26.398,1,0.0337,0.937,0.642,0.0991,0.093,99.524,audio_features,7K6xMPtAjTuLPNlJMLf5bS,spotify:track:7K6xMPtAjTuLPNlJMLf5bS,https://api.spotify.com/v1/tracks/7K6xMPtAjTuLPNlJMLf5bS,https://api.spotify.com/v1/audio-analysis/7K6xMPtAjTuLPNlJMLf5bS,192146,4
0.578,0.15,7,-17.335,1,0.0334,0.243,0.00707,0.0825,0.12,135.22,audio_features,1GEOSS415bZVHNuXWlCT6b,spotify:track:1GEOSS415bZVHNuXWlCT6b,https://api.spotify.com/v1/tracks/1GEOSS415bZVHNuXWlCT6b,https://api.spotify.com/v1/audio-analysis/1GEOSS415bZVHNuXWlCT6b,334893,4
0.359,0.48,9,-11.79,1,0.0841,0.521,0.0043,0.178,0.355,120.285,audio_features,3TO7bbrUKrOSPGRTB5MeCz,spotify:track:3TO7bbrUKrOSPGRTB5MeCz,https://api.spotify.com/v1/tracks/3TO7bbrUKrOSPGRTB5MeCz,https://api.spotify.com/v1/audio-analysis/3TO7bbrUKrOSPGRTB5MeCz,413947,4
0.587,0.302,0,-14.976,1,0.0293,0.223,0.00216,0.128,0.19,112.46,audio_features,7F02x6EKYIQV3VcTaTm7oN,spotify:track:7F02x6EKYIQV3VcTaTm7oN,https://api.spotify.com/v1/tracks/7F02x6EKYIQV3VcTaTm7oN,https://api.spotify.com/v1/audio-analysis/7F02x6EKYIQV3VcTaTm7oN,278441,4
0.268,0.459,10,-6.94,1,0.0346,0.378,0,0.118,0.175,64.177,audio_features,1lCRw5FEZ1gPDNPzy1K4zW,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,https://api.spotify.com/v1/tracks/1lCRw5FEZ1gPDNPzy1K4zW,https://api.spotify.com/v1/audio-analysis/1lCRw5FEZ1gPDNPzy1K4zW,179200,4
0.795,0.435,4,-8.927,1,0.0324,0.0841,2.6e-4,0.0763,0.596,108.95,audio_features,2AkmdLbVKS1steeZdy8H1l,spotify:track:2AkmdLbVKS1steeZdy8H1l,https://api.spotify.com/v1/tracks/2AkmdLbVKS1steeZdy8H1l,https://api.spotify.com/v1/audio-analysis/2AkmdLbVKS1steeZdy8H1l,258013,4
0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,354320,4
0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,audio_features,2fuCquhmrzHpu5xcA1ci9x,spotify:track:2fuCquhmrzHpu5xcA1ci9x,https://api.spotify.com/v1/tracks/2fuCquhmrzHpu5xcA1ci9x,https://api.spotify.com/v1/audio-analysis/2fuCquhmrzHpu5xcA1ci9x,248440,4
0.702,0.668,9,-9.237,1,0.214,0.518,0,0.0588,0.561,116.063,audio_features,1Ud6moTC0KyXMq1Oxfien0,spotify:track:1Ud6moTC0KyXMq1Oxfien0,https://api.spotify.com/v1/tracks/1Ud6moTC0KyXMq1Oxfien0,https://api.spotify.com/v1/audio-analysis/1Ud6moTC0KyXMq1Oxfien0,378147,4
0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267,4
0.532,0.887,0,-3.757,1,0.0335,0.0778,2.14e-4,0.294,0.795,122.511,audio_features,37ZJ0p5Jm13JPevGcx4SkF,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293,4
0.658,0.495,7,-8.866,1,0.084,0.552,0,0.582,0.612,88.329,audio_features,08JSatvoYTwDDkMov7oHKA,spotify:track:08JSatvoYTwDDkMov7oHKA,https://api.spotify.com/v1/tracks/08JSatvoYTwDDkMov7oHKA,https://api.spotify.com/v1/audio-analysis/08JSatvoYTwDDkMov7oHKA,379307,4
0.347,0.847,2,-5.352,1,0.0389,0.174,0,0.755,0.351,132.97,audio_features,6tFiwRosuePm2v0DQTyGpj,spotify:track:6tFiwRosuePm2v0DQTyGpj,https://api.spotify.com/v1/tracks/6tFiwRosuePm2v0DQTyGpj,https://api.spotify.com/v1/audio-analysis/6tFiwRosuePm2v0DQTyGpj,258267,4
0.58,0.53,7,-9.622,1,0.055,0.402,0,0.0868,0.537,59.953,audio_features,76BVOZqKOZrTrRxMa4WJbD,spotify:track:76BVOZqKOZrTrRxMa4WJbD,https://api.spotify.com/v1/tracks/76BVOZqKOZrTrRxMa4WJbD,https://api.spotify.com/v1/audio-analysis/76BVOZqKOZrTrRxMa4WJbD,207679,4
0.798,0.651,2,-11.015,1,0.0772,0.0531,0.00159,0.0669,0.964,94.963,audio_features,7MFq7ihwl8ZolUaPCc4sKh,spotify:track:7MFq7ihwl8ZolUaPCc4sKh,https://api.spotify.com/v1/tracks/7MFq7ihwl8ZolUaPCc4sKh,https://api.spotify.com/v1/audio-analysis/7MFq7ihwl8ZolUaPCc4sKh,213267,4
0.779,0.717,11,-9.143,0,0.0384,0.426,0.00147,0.0761,0.899,116.928,audio_features,3j7dPWGbvPBTLWiYvXOS95,spotify:track:3j7dPWGbvPBTLWiYvXOS95,https://api.spotify.com/v1/tracks/3j7dPWGbvPBTLWiYvXOS95,https://api.spotify.com/v1/audio-analysis/3j7dPWGbvPBTLWiYvXOS95,213933,4
0.443,0.228,0,-11.518,1,0.0374,0.734,1.36e-5,0.184,0.291,125.999,audio_features,2gpQT3UwG8hR3CYEjcnTc4,spotify:track:2gpQT3UwG8hR3CYEjcnTc4,https://api.spotify.com/v1/tracks/2gpQT3UwG8hR3CYEjcnTc4,https://api.spotify.com/v1/audio-analysis/2gpQT3UwG8hR3CYEjcnTc4,237150,1
0.55,0.314,7,-14.133,1,0.0326,0.895,0.0107,0.188,0.595,90.088,audio_features,76bcaYeKOKTrj9lEc9BZFU,spotify:track:76bcaYeKOKTrj9lEc9BZFU,https://api.spotify.com/v1/tracks/76bcaYeKOKTrj9lEc9BZFU,https://api.spotify.com/v1/audio-analysis/76bcaYeKOKTrj9lEc9BZFU,394707,4
0.658,0.572,3,-7.527,1,0.0304,0.214,0,0.125,0.741,92.011,audio_features,5U28PY9MekLyCBYtLHGQpe,spotify:track:5U28PY9MekLyCBYtLHGQpe,https://api.spotify.com/v1/tracks/5U28PY9MekLyCBYtLHGQpe,https://api.spotify.com/v1/audio-analysis/5U28PY9MekLyCBYtLHGQpe,231474,4
0.589,0.542,6,-8.359,0,0.0746,0.125,3.31e-5,0.0883,0.327,100.884,audio_features,2LOIoeI16A8jjKubPKoCSa,spotify:track:2LOIoeI16A8jjKubPKoCSa,https://api.spotify.com/v1/tracks/2LOIoeI16A8jjKubPKoCSa,https://api.spotify.com/v1/audio-analysis/2LOIoeI16A8jjKubPKoCSa,201453,4
0.617,0.533,7,-6.386,1,0.0395,0.47,0,0.114,0.589,123.959,audio_features,1PQRwFvNM7xV65bIkHmDtx,spotify:track:1PQRwFvNM7xV65bIkHmDtx,https://api.spotify.com/v1/tracks/1PQRwFvNM7xV65bIkHmDtx,https://api.spotify.com/v1/audio-analysis/1PQRwFvNM7xV65bIkHmDtx,262552,4
0.676,0.374,10,-8.201,1,0.0266,0.877,1.32e-4,0.165,0.2,99.825,audio_features,2vRBYKWOyHtFMtiK60qRz7,spotify:track:2vRBYKWOyHtFMtiK60qRz7,https://api.spotify.com/v1/tracks/2vRBYKWOyHtFMtiK60qRz7,https://api.spotify.com/v1/audio-analysis/2vRBYKWOyHtFMtiK60qRz7,205468,4
0.45,0.318,11,-9.474,1,0.0324,0.85,0,0.101,0.492,93.344,audio_features,05QeyKGAn4TZrv41tMiD1A,spotify:track:05QeyKGAn4TZrv41tMiD1A,https://api.spotify.com/v1/tracks/05QeyKGAn4TZrv41tMiD1A,https://api.spotify.com/v1/audio-analysis/05QeyKGAn4TZrv41tMiD1A,180319,4
0.772,0.588,0,-7.201,1,0.0314,0.0582,1.79e-6,0.335,0.668,90.034,audio_features,4owo0j5bw45IqiHxsTzcd6,spotify:track:4owo0j5bw45IqiHxsTzcd6,https://api.spotify.com/v1/tracks/4owo0j5bw45IqiHxsTzcd6,https://api.spotify.com/v1/audio-analysis/4owo0j5bw45IqiHxsTzcd6,257847,4
0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,audio_features,3ovjw5HZZv43SxTwApooCM,spotify:track:3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/tracks/3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM,312360,4
0.282,0.605,6,-4.916,0,0.0294,0.0047,0.00144,0.103,0.0783,103.929,audio_features,0RdUX4WE0fO30VnlUbDVL6,spotify:track:0RdUX4WE0fO30VnlUbDVL6,https://api.spotify.com/v1/tracks/0RdUX4WE0fO30VnlUbDVL6,https://api.spotify.com/v1/audio-analysis/0RdUX4WE0fO30VnlUbDVL6,403453,4
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4
0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,7o2CTH4ctstm8TNelqjb51,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520,4
0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,audio_features,4JiEyzf0Md7KEFFGWDDdCr,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/tracks/4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/audio-analysis/4JiEyzf0Md7KEFFGWDDdCr,336000,4
0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,audio_features,4OROzZUy6gOWN4UGQVaZMF,spotify:track:4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/tracks/4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/audio-analysis/4OROzZUy6gOWN4UGQVaZMF,252733,4
0.525,0.504,4,-13.362,0,0.0264,7.92e-5,0.0114,0.104,0.465,96.056,audio_features,3rOAvCpQruEQFinyurdmmz,spotify:track:3rOAvCpQruEQFinyurdmmz,https://api.spotify.com/v1/tracks/3rOAvCpQruEQFinyurdmmz,https://api.spotify.com/v1/audio-analysis/3rOAvCpQruEQFinyurdmmz,191000,4
0.612,0.675,2,-10.39,1,0.0388,0.32,0.00093000000000000005,0.0861,0.803,148.336,audio_features,7uscfoAoI65JcSY4NyHg1t,spotify:track:7uscfoAoI65JcSY4NyHg1t,https://api.spotify.com/v1/tracks/7uscfoAoI65JcSY4NyHg1t,https://api.spotify.com/v1/audio-analysis/7uscfoAoI65JcSY4NyHg1t,237733,4
0.509,0.672,0,-7.343,1,0.0305,0.42,0,0.178,0.531,134.5,audio_features,5VMNUUiQ5FgS3wCTG8uy0F,spotify:track:5VMNUUiQ5FgS3wCTG8uy0F,https://api.spotify.com/v1/tracks/5VMNUUiQ5FgS3wCTG8uy0F,https://api.spotify.com/v1/audio-analysis/5VMNUUiQ5FgS3wCTG8uy0F,282867,4
0.253,0.659,9,-7.186,1,0.0521,0.36,0,0.324,0.348,170.895,audio_features,6kpMG24Ov1GM8sYlm3v0GR,spotify:track:6kpMG24Ov1GM8sYlm3v0GR,https://api.spotify.com/v1/tracks/6kpMG24Ov1GM8sYlm3v0GR,https://api.spotify.com/v1/audio-analysis/6kpMG24Ov1GM8sYlm3v0GR,240360,3
0.489,0.475,7,-9.565,1,0.0343,0.724,0,0.505,0.307,139.213,audio_features,4Bd8jSFBXHC1K7JAKW9Ojm,spotify:track:4Bd8jSFBXHC1K7JAKW9Ojm,https://api.spotify.com/v1/tracks/4Bd8jSFBXHC1K7JAKW9Ojm,https://api.spotify.com/v1/audio-analysis/4Bd8jSFBXHC1K7JAKW9Ojm,242733,3
0.588,0.957,3,-6.886,1,0.045,0.436,0.00129,0.958,0.884,135.154,audio_features,2BnJUYbPtL3yauZKmay0ko,spotify:track:2BnJUYbPtL3yauZKmay0ko,https://api.spotify.com/v1/tracks/2BnJUYbPtL3yauZKmay0ko,https://api.spotify.com/v1/audio-analysis/2BnJUYbPtL3yauZKmay0ko,249160,4
0.6,0.12,7,-12.805,1,0.0502,0.87,0,0.088,0.439,60.761,audio_features,6sKopGG4r21ObTE8V6pD6x,spotify:track:6sKopGG4r21ObTE8V6pD6x,https://api.spotify.com/v1/tracks/6sKopGG4r21ObTE8V6pD6x,https://api.spotify.com/v1/audio-analysis/6sKopGG4r21ObTE8V6pD6x,214693,3
0.498,0.801,2,-5.831,1,0.0449,0.543,0,0.0525,0.923,101.666,audio_features,7aQWuNqheTpisZfM0gP2oG,spotify:track:7aQWuNqheTpisZfM0gP2oG,https://api.spotify.com/v1/tracks/7aQWuNqheTpisZfM0gP2oG,https://api.spotify.com/v1/audio-analysis/7aQWuNqheTpisZfM0gP2oG,254200,4
0.491,0.498,2,-7.658,1,0.0821,0.302,0,0.0734,0.478,143.719,audio_features,2ZC8sdv4Kvuql7Q9T8Agzv,spotify:track:2ZC8sdv4Kvuql7Q9T8Agzv,https://api.spotify.com/v1/tracks/2ZC8sdv4Kvuql7Q9T8Agzv,https://api.spotify.com/v1/audio-analysis/2ZC8sdv4Kvuql7Q9T8Agzv,261600,3
0.654,0.393,3,-13.392,1,0.129,0.865,2.97e-6,0.123,0.533,143.801,audio_features,15ouqiBsgL12olEwP3COsH,spotify:track:15ouqiBsgL12olEwP3COsH,https://api.spotify.com/v1/tracks/15ouqiBsgL12olEwP3COsH,https://api.spotify.com/v1/audio-analysis/15ouqiBsgL12olEwP3COsH,214366,4
0.549,0.259,9,-17.532,1,0.0524,0.676,0,0.0797,0.541,95.093,audio_features,0BoCuzEjDEcULyknBHf3Ii,spotify:track:0BoCuzEjDEcULyknBHf3Ii,https://api.spotify.com/v1/tracks/0BoCuzEjDEcULyknBHf3Ii,https://api.spotify.com/v1/audio-analysis/0BoCuzEjDEcULyknBHf3Ii,280107,4
0.606,0.37,7,-6.164,1,0.0415,0.877,9.63e-5,0.08,0.47,121.849,audio_features,1rQ0viTAi8pxDy53iNvKNn,spotify:track:1rQ0viTAi8pxDy53iNvKNn,https://api.spotify.com/v1/tracks/1rQ0viTAi8pxDy53iNvKNn,https://api.spotify.com/v1/audio-analysis/1rQ0viTAi8pxDy53iNvKNn,155960,4
0.567,0.333,4,-17.687,1,0.0425,0.54,0,0.0736,0.53,107.895,audio_features,7oo3L1ZPEQSavDVSnlOvDa,spotify:track:7oo3L1ZPEQSavDVSnlOvDa,https://api.spotify.com/v1/tracks/7oo3L1ZPEQSavDVSnlOvDa,https://api.spotify.com/v1/audio-analysis/7oo3L1ZPEQSavDVSnlOvDa,258027,4
0.516,0.513,2,-10.762,1,0.0288,0.159,0.00957,0.0612,0.694,99.735,audio_features,6MOEQCtAWNSCmvg3SFKF5y,spotify:track:6MOEQCtAWNSCmvg3SFKF5y,https://api.spotify.com/v1/tracks/6MOEQCtAWNSCmvg3SFKF5y,https://api.spotify.com/v1/audio-analysis/6MOEQCtAWNSCmvg3SFKF5y,293933,4
0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-6,0.22,0.954,102.762,audio_features,6QhXQOpyYvbpdbyjgAqKdY,spotify:track:6QhXQOpyYvbpdbyjgAqKdY,https://api.spotify.com/v1/tracks/6QhXQOpyYvbpdbyjgAqKdY,https://api.spotify.com/v1/audio-analysis/6QhXQOpyYvbpdbyjgAqKdY,174827,4
0.525,0.216,6,-13.551,1,0.0301,0.837,0,0.107,0.328,106.761,audio_features,5y788ya4NvwhBznoDIcXwK,spotify:track:5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/tracks/5y788ya4NvwhBznoDIcXwK,https://api.spotify.com/v1/audio-analysis/5y788ya4NvwhBznoDIcXwK,185413,4
0.39,0.31,5,-14.545,1,0.0676,0.794,0,0.379,0.584,177.515,audio_features,3RkQ3UwOyPqpIiIvGVewuU,spotify:track:3RkQ3UwOyPqpIiIvGVewuU,https://api.spotify.com/v1/tracks/3RkQ3UwOyPqpIiIvGVewuU,https://api.spotify.com/v1/audio-analysis/3RkQ3UwOyPqpIiIvGVewuU,330533,4
0.509,0.827,0,-7.715,1,0.0782,0.0409,0,0.12,0.743,135.601,audio_features,1lqMLr9Wj7SM2F9AikGcxN,spotify:track:1lqMLr9Wj7SM2F9AikGcxN,https://api.spotify.com/v1/tracks/1lqMLr9Wj7SM2F9AikGcxN,https://api.spotify.com/v1/audio-analysis/1lqMLr9Wj7SM2F9AikGcxN,512733,4
0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-5,0.0605,0.44,174.874,audio_features,18GiV1BaXzPVYpp9rmOg0E,spotify:track:18GiV1BaXzPVYpp9rmOg0E,https://api.spotify.com/v1/tracks/18GiV1BaXzPVYpp9rmOg0E,https://api.spotify.com/v1/audio-analysis/18GiV1BaXzPVYpp9rmOg0E,165427,4
0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,audio_features,3AhXZa8sUQht0UEdBJgpGc,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,369600,4
0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,audio_features,6HSXNV0b4M4cLJ7ljgVVeh,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,https://api.spotify.com/v1/tracks/6HSXNV0b4M4cLJ7ljgVVeh,https://api.spotify.com/v1/audio-analysis/6HSXNV0b4M4cLJ7ljgVVeh,149880,4
0.49,0.715,7,-5.549,1,0.0476,0.386,0,0.311,0.866,130.726,audio_features,4pbG9SUmWIvsROVLF0zF9s,spotify:track:4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/tracks/4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/audio-analysis/4pbG9SUmWIvsROVLF0zF9s,145747,4
0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-6,0.0414,0.937,124.631,audio_features,5ZBeML7Lf3FMEVviTyvi8l,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,155227,4
0.656,0.849,4,-7.594,0,0.0556,0.177,5.94e-6,0.975,0.497,98.19,audio_features,3M8AMfVZ97l2FAPCiWDvoM,spotify:track:3M8AMfVZ97l2FAPCiWDvoM,https://api.spotify.com/v1/tracks/3M8AMfVZ97l2FAPCiWDvoM,https://api.spotify.com/v1/audio-analysis/3M8AMfVZ97l2FAPCiWDvoM,205800,4
0.568,0.7,6,-5.42,1,0.0258,0.0409,7.11e-6,0.0838,0.571,131.885,audio_features,5HDlh6UhT3AMQs935wE1qr,spotify:track:5HDlh6UhT3AMQs935wE1qr,https://api.spotify.com/v1/tracks/5HDlh6UhT3AMQs935wE1qr,https://api.spotify.com/v1/audio-analysis/5HDlh6UhT3AMQs935wE1qr,265040,4
0.531,0.916,9,-4.655,1,0.0403,0.0227,0,0.336,0.896,160.024,audio_features,0v1fLMHpMqsh6AiAGQ9Dam,spotify:track:0v1fLMHpMqsh6AiAGQ9Dam,https://api.spotify.com/v1/tracks/0v1fLMHpMqsh6AiAGQ9Dam,https://api.spotify.com/v1/audio-analysis/0v1fLMHpMqsh6AiAGQ9Dam,258680,4
